job_id,plan_status,block_id,scheduled_start,heuristic_plan_status,heuristic_block_id,heuristic_scheduled_start,assignment_changed
J018,UNSCHEDULED,,,UNSCHEDULED,,,False
J036,SCHEDULED,B020,2026-08-30 06:30,SCHEDULED,B020,2026-08-30 06:00,True
J039,UNSCHEDULED,,,UNSCHEDULED,,,False
J010,UNSCHEDULED,,,UNSCHEDULED,,,False
J016,UNSCHEDULED,,,UNSCHEDULED,,,False
J033,UNSCHEDULED,,,UNSCHEDULED,,,False
J014,SCHEDULED,B014,2026-08-30 06:30,SCHEDULED,B014,2026-08-30 06:00,True
J024,UNSCHEDULED,,,UNSCHEDULED,,,False
J015,SCHEDULED,B015,2026-08-30 12:00,SCHEDULED,B015,2026-08-30 12:00,False
J026,UNSCHEDULED,,,UNSCHEDULED,,,False
J040,SCHEDULED,B007,2026-08-30 22:00,SCHEDULED,B007,2026-08-30 22:00,False
J013,SCHEDULED,B017,2026-08-30 12:00,SCHEDULED,B017,2026-08-30 12:00,False
J032,UNSCHEDULED,,,UNSCHEDULED,,,False
J031,SCHEDULED,B017,2026-08-30 12:30,SCHEDULED,B017,2026-08-30 12:30,False
J035,UNSCHEDULED,,,UNSCHEDULED,,,False
J020,UNSCHEDULED,,,UNSCHEDULED,,,False
J003,UNSCHEDULED,,,UNSCHEDULED,,,False
J002,UNSCHEDULED,,,UNSCHEDULED,,,False
J029,SCHEDULED,B019,2026-08-30 09:30,SCHEDULED,B019,2026-08-30 09:00,True
J030,UNSCHEDULED,,,UNSCHEDULED,,,False
J001,UNSCHEDULED,,,UNSCHEDULED,,,False
J034,UNSCHEDULED,,,UNSCHEDULED,,,False
J038,UNSCHEDULED,,,UNSCHEDULED,,,False
J005,SCHEDULED,B019,2026-08-30 09:00,SCHEDULED,B020,2026-08-30 07:30,True
J027,SCHEDULED,B003,2026-08-30 14:26,SCHEDULED,B003,2026-08-30 14:26,False
J012,UNSCHEDULED,,,UNSCHEDULED,,,False
J011,UNSCHEDULED,,,UNSCHEDULED,,,False
J006,UNSCHEDULED,,,UNSCHEDULED,,,False
J019,SCHEDULED,B014,2026-08-30 06:00,SCHEDULED,B014,2026-08-30 07:30,True
J004,SCHEDULED,B020,2026-08-30 06:00,SCHEDULED,B019,2026-08-30 10:15,True
J037,UNSCHEDULED,,,UNSCHEDULED,,,False
J008,UNSCHEDULED,,,UNSCHEDULED,,,False
J017,UNSCHEDULED,,,UNSCHEDULED,,,False
J025,UNSCHEDULED,,,UNSCHEDULED,,,False
J009,UNSCHEDULED,,,UNSCHEDULED,,,False
J007,UNSCHEDULED,,,UNSCHEDULED,,,False
J022,UNSCHEDULED,,,UNSCHEDULED,,,False
J028,UNSCHEDULED,,,UNSCHEDULED,,,False
J023,UNSCHEDULED,,,UNSCHEDULED,,,False
J021,UNSCHEDULED,,,UNSCHEDULED,,,False
