job_id,event_id,event_type,event_block_id,impact_type,previous_status,new_status,previous_block,new_block,previous_start,new_start,change_type,change_reason
J001,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
J002,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
J003,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
J004,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,DIRECT,SCHEDULED,UNSCHEDULED,B020,,2026-08-30 06:00,,DROPPED,Directly affected by disruption.
J005,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,INDIRECT,SCHEDULED,SCHEDULED,B019,B019,2026-08-30 09:00,2026-08-30 09:00:00,MOVED,Moved or reconsidered as part of cascading recovery.
J006,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
J007,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
J008,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
J009,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
J010,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
J011,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
