job_id,plan_status,priority_rank,priority_score,asset_id,section_id,department,work_type,duration_min,deadline,block_id,block_date,scheduled_start,scheduled_end,block_type,block_restrictions,block_isolation_required,train_conflict_checked,optimizer_candidate_count,optimizer_reason_code,optimizer_reason_detail,heuristic_plan_status,heuristic_block_id,heuristic_scheduled_start,assignment_changed
J018,UNSCHEDULED,1,93.75,A020,S09,Traction,Pantograph Clearance Check,120,2026-09-01,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
J036,UNSCHEDULED,2,93.71,A008,S10,Engineering,Track Repair,90,2026-08-30,,,,,,,,True,0,NO_FEASIBLE_REPLACEMENT,Original block B020 became unavailable and no feasible replacement window remained after train and frozen-job constraints.,SCHEDULED,B020,2026-08-30 06:00,True
J039,UNSCHEDULED,3,84.31,A020,S09,Traction,OHE Repair,90,2026-09-03,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
J010,UNSCHEDULED,4,82.07,A003,S09,Engineering,Ballast Maintenance,45,2026-08-30,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
J016,UNSCHEDULED,5,81.03,A011,S05,S&T,Signal Inspection,30,2026-08-30,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
J033,UNSCHEDULED,6,80.82,A020,S09,Traction,OHE Repair,75,2026-08-31,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
J014,SCHEDULED,7,76.98,A004,S07,Engineering,Rail Replacement,90,2026-08-30,B014,2026-08-30,2026-08-30 06:30,2026-08-30 08:00,Planned,Limited speed,Yes,True,0,UNCHANGED,Existing assignment remained unchanged.,SCHEDULED,B014,2026-08-30 06:00,True
J024,UNSCHEDULED,8,76.12,A025,S01,S&T,Signal Inspection,75,2026-09-01,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
J015,SCHEDULED,9,74.74,A007,S08,Engineering,Rail Replacement,60,2026-09-02,B015,2026-08-30,2026-08-30 12:00,2026-08-30 13:00,Planned,Limited speed,No,True,0,UNCHANGED,Existing assignment remained unchanged.,SCHEDULED,B015,2026-08-30 12:00,False
J026,UNSCHEDULED,10,73.97,A002,S09,Engineering,Track Repair,45,2026-08-30,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
J040,SCHEDULED,11,72.33,A009,S04,Engineering,Track Inspection,120,2026-09-03,B007,2026-08-30,2026-08-30 22:00,2026-08-31 00:00,Planned,None,No,True,0,UNCHANGED,Existing assignment remained unchanged.,SCHEDULED,B007,2026-08-30 22:00,False
J013,SCHEDULED,12,72.24,A002,S09,Engineering,Track Repair,30,2026-08-30,B017,2026-08-30,2026-08-30 12:00,2026-08-30 12:30,Planned,None,No,True,0,UNCHANGED,Existing assignment remained unchanged.,SCHEDULED,B017,2026-08-30 12:00,False
J032,UNSCHEDULED,13,71.64,A013,S06,S&T,Point Machine Maintenance,90,2026-09-01,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
J031,SCHEDULED,14,69.74,A020,S09,Traction,OHE Repair,30,2026-09-06,B017,2026-08-30,2026-08-30 12:30,2026-08-30 13:00,Planned,None,No,True,0,UNCHANGED,Existing assignment remained unchanged.,SCHEDULED,B017,2026-08-30 12:30,False
J035,UNSCHEDULED,15,68.88,A003,S09,Engineering,Track Inspection,45,2026-09-02,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
J020,UNSCHEDULED,16,68.19,A007,S08,Engineering,Ballast Maintenance,60,2026-09-03,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
J003,UNSCHEDULED,17,67.33,A023,S09,S&T,Signal Inspection,120,2026-09-05,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
J002,UNSCHEDULED,18,66.98,A022,S01,S&T,Signal Inspection,90,2026-09-06,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
J029,SCHEDULED,19,65.82,A024,S10,S&T,Signal Repair,75,2026-08-31,B019,2026-08-30,2026-08-30 09:30,2026-08-30 10:45,Emergency,None,Yes,True,0,UNCHANGED,Existing assignment remained unchanged.,SCHEDULED,B019,2026-08-30 09:00,True
J030,UNSCHEDULED,20,63.19,A023,S09,S&T,Point Machine Maintenance,90,2026-09-04,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
J001,UNSCHEDULED,21,62.03,A008,S10,Engineering,Track Repair,90,2026-09-04,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
J034,UNSCHEDULED,22,59.44,A015,S04,S&T,Signal Repair,120,2026-09-03,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
J038,UNSCHEDULED,23,58.02,A002,S09,Engineering,Rail Replacement,30,2026-09-01,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
J005,SCHEDULED,24,56.51,A008,S10,Engineering,Ballast Maintenance,30,2026-09-05,B019,2026-08-30,2026-08-30 09:00,2026-08-30 09:30,Emergency,None,Yes,True,0,UNCHANGED,Existing assignment remained unchanged.,SCHEDULED,B020,2026-08-30 07:30,True
