forecast_id,section_id,forecast_date,start_time,end_time,expected_trains,traffic_level,confidence
F001,S01,2026-08-30,09:00,11:00,2,Medium,0.75
F002,S01,2026-08-30,12:00,14:00,0,Low,0.89
F003,S01,2026-08-30,22:00,00:00,1,Low,0.77
F004,S02,2026-08-30,06:00,08:00,5,High,0.95
F005,S02,2026-08-30,18:00,20:00,5,High,0.93
F006,S02,2026-08-30,12:00,14:00,3,Medium,0.73
F007,S03,2026-08-30,06:00,08:00,3,Medium,0.83
F008,S03,2026-08-30,18:00,20:00,2,Medium,0.75
F009,S03,2026-08-30,12:00,14:00,0,Low,0.77
F010,S04,2026-08-30,14:00,16:00,3,Medium,0.83
F011,S04,2026-08-30,06:00,08:00,4,High,0.87
F012,S04,2026-08-30,18:00,20:00,0,Low,0.74
F013,S05,2026-08-30,18:00,20:00,1,Low,0.73
F014,S05,2026-08-30,12:00,14:00,6,High,0.81
F015,S05,2026-08-30,06:00,08:00,4,High,0.91
F016,S06,2026-08-30,09:00,11:00,3,Medium,0.95
F017,S06,2026-08-30,18:00,20:00,2,Medium,0.93
F018,S06,2026-08-30,14:00,16:00,3,Medium,0.78
F019,S07,2026-08-30,18:00,20:00,6,High,0.76
F020,S07,2026-08-30,06:00,08:00,1,Low,0.77
F021,S07,2026-08-30,22:00,00:00,0,Low,0.74
F022,S08,2026-08-30,09:00,11:00,1,Low,0.7
F023,S08,2026-08-30,18:00,20:00,3,Medium,0.89
F024,S08,2026-08-30,06:00,08:00,3,Medium,0.78
F025,S09,2026-08-30,09:00,11:00,5,High,0.93
F026,S09,2026-08-30,12:00,14:00,0,Low,0.89
F027,S09,2026-08-30,18:00,20:00,2,Medium,0.91
F028,S10,2026-08-30,22:00,00:00,3,Medium,0.73
F029,S10,2026-08-30,18:00,20:00,1,Low,0.87
F030,S10,2026-08-30,09:00,11:00,2,Medium,0.92
