job_id,asset_id,department,work_type,description,duration_min,priority,deadline,status,block_required,isolation_required,created_date,id,section,block,start_time,end_time,date,created_by,remarks
J001,A008,Engineering,Track Repair,Maintenance required for A008,90,Low,2026-09-04,Pending,Yes,Yes,2026-08-05,,,,,,,,
J002,A022,S&T,Signal Inspection,Maintenance required for A022,90,Medium,2026-09-06,Pending,Yes,Yes,2026-08-16,,,,,,,,
J003,A023,S&T,Signal Inspection,Maintenance required for A023,120,Medium,2026-09-05,Pending,Yes,Yes,2026-08-15,,,,,,,,
J004,A008,Engineering,Track Inspection,Maintenance required for A008,30,Low,2026-09-05,Pending,Yes,Yes,2026-08-29,,,,,,,,
J005,A008,Engineering,Ballast Maintenance,Maintenance required for A008,30,Low,2026-09-05,Pending,Yes,Yes,2026-08-21,,,,,,,,
J006,A018,Traction,OHE Repair,Maintenance required for A018,90,Low,2026-09-07,Pending,Yes,Yes,2026-08-04,,,,,,,,
J007,A004,Engineering,Track Inspection,Maintenance required for A004,75,Low,2026-09-07,Pending,Yes,Yes,2026-08-02,,,,,,,,
J008,A002,Engineering,Ballast Maintenance,Maintenance required for A002,60,Medium,2026-09-03,Pending,Yes,Yes,2026-08-12,,,,,,,,
J009,A014,S&T,Signal Inspection,Maintenance required for A014,75,Medium,2026-09-05,Pending,Yes,Yes,2026-08-26,,,,,,,,
J010,A003,Engineering,Ballast Maintenance,Maintenance required for A003,45,Critical,2026-08-30,Pending,Yes,Yes,2026-08-23,,,,,,,,
J011,A006,Engineering,Ballast Maintenance,Maintenance required for A006,75,Medium,2026-09-04,Pending,Yes,Yes,2026-08-07,,,,,,,,
J012,A007,Engineering,Ballast Maintenance,Maintenance required for A007,30,Medium,2026-09-04,Pending,Yes,Yes,2026-08-28,,,,,,,,
J013,A002,Engineering,Track Repair,Maintenance required for A002,30,Critical,2026-08-30,Pending,Yes,No,2026-08-08,,,,,,,,
J014,A004,Engineering,Rail Replacement,Maintenance required for A004,90,Critical,2026-08-30,Pending,Yes,No,2026-08-16,,,,,,,,
J015,A007,Engineering,Rail Replacement,Maintenance required for A007,60,High,2026-09-02,Pending,Yes,No,2026-08-08,,,,,,,,
J016,A011,S&T,Signal Inspection,Maintenance required for A011,30,Critical,2026-08-30,Pending,Yes,Yes,2026-08-26,,,,,,,,
J017,A017,Traction,OHE Repair,Maintenance required for A017,60,Medium,2026-09-04,Pending,Yes,No,2026-08-24,,,,,,,,
J018,A020,Traction,Pantograph Clearance Check,Maintenance required for A020,120,Critical,2026-09-01,Pending,Yes,Yes,2026-07-31,,,,,,,,
J019,A005,Engineering,Track Repair,Maintenance required for A005,30,Medium,2026-09-04,Pending,Yes,No,2026-08-10,,,,,,,,
J020,A007,Engineering,Ballast Maintenance,Maintenance required for A007,60,High,2026-09-03,Pending,Yes,No,2026-08-27,,,,,,,,
J021,A002,Engineering,Ballast Maintenance,Maintenance required for A002,45,Low,2026-09-09,Pending,Yes,Yes,2026-08-15,,,,,,,,
J022,A004,Engineering,Track Repair,Maintenance required for A004,120,Low,2026-09-08,Pending,Yes,No,2026-08-12,,,,,,,,
J023,A005,Engineering,Track Inspection,Maintenance required for A005,60,Low,2026-09-09,Pending,Yes,No,2026-08-22,,,,,,,,
J024,A025,S&T,Signal Inspection,Maintenance required for A025,75,High,2026-09-01,Pending,Yes,No,2026-08-04,,,,,,,,
J025,A001,Engineering,Track Inspection,Maintenance required for A001,60,Medium,2026-09-04,Pending,Yes,No,2026-08-04,,,,,,,,
J026,A002,Engineering,Track Repair,Maintenance required for A002,45,Critical,2026-08-30,Pending,Yes,Yes,2026-08-03,,,,,,,,
J027,A001,Engineering,Ballast Maintenance,Maintenance required for A001,75,High,2026-09-02,Pending,Yes,No,2026-08-18,,,,,,,,
J028,A001,Engineering,Ballast Maintenance,Maintenance required for A001,60,Low,2026-09-04,Pending,Yes,No,2026-08-10,,,,,,,,
J029,A024,S&T,Signal Repair,Maintenance required for A024,75,High,2026-08-31,Pending,Yes,Yes,2026-08-23,,,,,,,,
