job_id,job_priority_score,asset_criticality_score,deadline_urgency_score,job_age_score,priority_score,priority_rank
J018,100.0,100.0,75.0,100.0,93.75,1
J036,100.0,100.0,90.0,62.07,93.71,2
J039,75.0,100.0,75.0,93.1,84.31,3
J010,100.0,75.0,90.0,20.69,82.07,4
J016,100.0,75.0,90.0,10.34,81.03,5
J033,75.0,100.0,90.0,20.69,80.82,6
J014,100.0,50.0,90.0,44.83,76.98,7
J024,75.0,75.0,75.0,86.21,76.12,8
J015,75.0,75.0,75.0,72.41,74.74,9
J026,100.0,25.0,90.0,89.66,73.97,10
J040,75.0,75.0,75.0,48.28,72.33,11
J013,100.0,25.0,90.0,72.41,72.24,12
J032,75.0,75.0,75.0,41.38,71.64,13
J031,50.0,100.0,60.0,72.41,69.74,14
J035,75.0,75.0,75.0,13.79,68.88,15
J020,75.0,75.0,75.0,6.9,68.19,16
J003,50.0,100.0,60.0,48.28,67.33,17
J002,50.0,100.0,60.0,44.83,66.98,18
J029,75.0,50.0,90.0,20.69,65.82,19
J030,50.0,100.0,60.0,6.9,63.19,20
J001,25.0,100.0,60.0,82.76,62.03,21
J034,50.0,75.0,75.0,6.9,59.44,22
J038,75.0,25.0,75.0,55.17,58.02,23
J005,25.0,100.0,60.0,27.59,56.51,24
J027,75.0,25.0,75.0,37.93,56.29,25
J012,50.0,75.0,60.0,3.45,55.34,26
J011,50.0,50.0,60.0,75.86,55.09,27
J006,25.0,75.0,60.0,86.21,54.87,28
J019,50.0,50.0,60.0,65.52,54.05,29
J004,25.0,100.0,60.0,0.0,53.75,30
J037,50.0,50.0,75.0,24.14,53.66,31
J008,50.0,25.0,75.0,58.62,49.61,32
J017,50.0,50.0,60.0,17.24,49.22,33
J025,50.0,25.0,60.0,86.21,48.62,34
J009,50.0,50.0,60.0,10.34,48.53,35
J007,25.0,50.0,60.0,93.1,48.06,36
J022,25.0,50.0,60.0,58.62,44.61,37
J028,25.0,25.0,60.0,65.52,37.8,38
J023,25.0,50.0,40.0,24.14,36.16,39
J021,25.0,25.0,40.0,48.28,31.08,40
MR-41,75.0,50.0,90.0,50.0,66.25,41
MR-42,75.0,50.0,90.0,50.0,66.25,42

