train_id,train_number,train_type,schedule_date,status
T001,10001,Goods,2026-08-30,Scheduled
T002,10002,Passenger,2026-08-30,Scheduled
T003,10003,Passenger,2026-08-30,Scheduled
T004,10004,Passenger,2026-08-30,Scheduled
T005,10005,Express,2026-08-30,Scheduled
T006,10006,Passenger,2026-08-30,Scheduled
T007,10007,Goods,2026-08-30,Scheduled
T008,10008,Passenger,2026-08-30,Scheduled
T009,10009,Express,2026-08-30,Scheduled
T010,10010,Passenger,2026-08-30,Scheduled
T011,10011,Passenger,2026-08-30,Scheduled
T012,10012,Passenger,2026-08-30,Scheduled
T013,10013,Goods,2026-08-30,Scheduled
T014,10014,Goods,2026-08-30,Scheduled
T015,10015,Passenger,2026-08-30,Scheduled
T016,10016,Passenger,2026-08-30,Scheduled
T017,10017,Passenger,2026-08-30,Scheduled
T018,10018,Passenger,2026-08-30,Scheduled
T019,10019,Goods,2026-08-30,Scheduled
T020,10020,Passenger,2026-08-30,Scheduled
T021,10021,Passenger,2026-08-30,Scheduled
T022,10022,Goods,2026-08-30,Scheduled
T023,10023,Express,2026-08-30,Scheduled
T024,10024,Express,2026-08-30,Scheduled
T025,10025,Passenger,2026-08-30,Scheduled
T026,10026,Passenger,2026-08-30,Scheduled
T027,10027,Goods,2026-08-30,Scheduled
T028,10028,Passenger,2026-08-30,Scheduled
T029,10029,Passenger,2026-08-30,Scheduled
T030,10030,Passenger,2026-08-30,Scheduled
