train_section_id,train_id,section_id,sequence,arrival_time,departure_time
TS0001,T001,S05,1,08:00,09:40
TS0002,T001,S06,2,09:45,11:58
TS0003,T002,S04,1,18:30,19:32
TS0004,T002,S09,2,19:37,22:07
TS0005,T002,S10,3,22:12,23:52
TS0006,T003,S01,1,15:00,15:53
TS0007,T003,S02,2,15:58,16:41
TS0008,T003,S03,3,16:46,17:41
TS0009,T003,S07,4,17:46,18:15
TS0010,T003,S08,5,18:20,18:46
TS0011,T004,S03,1,20:00,20:55
TS0012,T004,S07,2,21:00,21:29
TS0013,T004,S08,3,21:34,22:00
TS0014,T005,S03,1,16:45,17:40
TS0015,T005,S07,2,17:45,18:14
TS0016,T005,S08,3,18:19,18:45
TS0017,T006,S05,1,09:45,11:25
TS0018,T006,S06,2,11:30,13:43
TS0019,T007,S04,1,13:45,14:47
TS0020,T007,S05,2,14:52,16:32
TS0021,T007,S06,3,16:37,18:50
TS0022,T008,S03,1,18:30,19:25
TS0023,T008,S07,2,19:30,19:59
TS0024,T008,S08,3,20:04,20:30
TS0025,T009,S04,1,12:00,13:02
TS0026,T009,S09,2,13:07,15:37
TS0027,T009,S10,3,15:42,17:22
TS0028,T010,S04,1,19:15,20:17
TS0029,T010,S09,2,20:22,22:52
TS0030,T010,S10,3,22:57,00:37
TS0031,T011,S03,1,17:30,18:25
TS0032,T011,S07,2,18:30,18:59
TS0033,T011,S08,3,19:04,19:30
TS0034,T012,S01,1,20:30,21:23
TS0035,T012,S02,2,21:28,22:11
TS0036,T012,S03,3,22:16,23:11
TS0037,T012,S07,4,23:16,23:45
TS0038,T012,S08,5,23:50,00:16
TS0039,T013,S04,1,20:15,21:17
TS0040,T013,S05,2,21:22,23:02
TS0041,T013,S06,3,23:07,01:20
TS0042,T014,S04,1,13:30,14:32
TS0043,T014,S09,2,14:37,17:07
TS0044,T014,S10,3,17:12,18:52
TS0045,T015,S04,1,13:00,14:02
TS0046,T015,S09,2,14:07,16:37
TS0047,T015,S10,3,16:42,18:22
TS0048,T016,S01,1,11:00,11:53
TS0049,T016,S02,2,11:58,12:41
TS0050,T017,S04,1,18:45,19:47
TS0051,T017,S05,2,19:52,21:32
TS0052,T017,S06,3,21:37,23:50
TS0053,T018,S01,1,12:45,13:38
TS0054,T018,S02,2,13:43,14:26
TS0055,T019,S05,1,20:45,22:25
TS0056,T019,S06,2,22:30,00:43
TS0057,T020,S01,1,07:30,08:23
TS0058,T020,S02,2,08:28,09:11
TS0059,T020,S03,3,09:16,10:11
TS0060,T020,S07,4,10:16,10:45
TS0061,T020,S08,5,10:50,11:16
TS0062,T021,S04,1,17:15,18:17
TS0063,T021,S05,2,18:22,20:02
TS0064,T021,S06,3,20:07,22:20
TS0065,T022,S04,1,16:45,17:47
TS0066,T022,S09,2,17:52,20:22
TS0067,T022,S10,3,20:27,22:07
TS0068,T023,S01,1,16:45,17:38
TS0069,T023,S02,2,17:43,18:26
TS0070,T024,S05,1,15:30,17:10
TS0071,T024,S06,2,17:15,19:28
TS0072,T025,S05,1,19:30,21:10
TS0073,T025,S06,2,21:15,23:28
TS0074,T026,S04,1,13:15,14:17
TS0075,T026,S09,2,14:22,16:52
TS0076,T026,S10,3,16:57,18:37
TS0077,T027,S01,1,11:30,12:23
TS0078,T027,S02,2,12:28,13:11
TS0079,T027,S03,3,13:16,14:11
TS0080,T027,S07,4,14:16,14:45
TS0081,T027,S08,5,14:50,15:16
TS0082,T028,S01,1,10:15,11:08
TS0083,T028,S02,2,11:13,11:56
TS0084,T028,S03,3,12:01,12:56
TS0085,T028,S07,4,13:01,13:30
TS0086,T028,S08,5,13:35,14:01
TS0087,T029,S04,1,20:30,21:32
TS0088,T029,S05,2,21:37,23:17
TS0089,T029,S06,3,23:22,01:35
TS0090,T030,S05,1,14:00,15:40
TS0091,T030,S06,2,15:45,17:58
